router,seed,n,n_correct,accuracy,mean_e2e_latency_s,p50_e2e_latency_s,p95_e2e_latency_s,throughput_qps,mean_prompt_tokens,mean_completion_tokens,mean_llm_calls,mean_cost_usd,total_cost_usd,routing_llm_calls,gpu_peak_mb
AgentRoute,13,100,68,0.68,1.1208105778694153,1.0725767612457275,1.7025452136993409,0.8918298495648649,291.26,84.43,1.0,1.00467e-05,0.00100467,0,7831.85791015625
OI-MAS,13,100,50,0.5,3.447114667892456,1.492153286933899,7.4057167053222654,0.29004233106492827,804.29,253.83,2.39,2.8777300000000003e-05,0.0028777300000000002,0,7863.29638671875
RCR-Router,13,100,73,0.73,12.972081816196441,15.451301097869873,17.734181332588197,0.07708498315449279,5936.3,963.51,8.16,0.00016690150000000001,0.01669015,0,8092.69189453125
EvoMAS,13,100,51,0.51,3.16179003238678,3.3225256204605103,7.749112367630005,0.31620824143587983,533.95,234.72,1.63,2.2415e-05,0.0022415,0,7836.79345703125
RopMura,13,100,32,0.32,6.468762817382813,6.6373021602630615,7.99234162569046,0.15457379382456551,1722.5,481.93,5.0,5.854650000000001e-05,0.005854650000000001,0,7853.37646484375
AgentRoute,14,100,69,0.69,1.1606532192230226,1.0694223642349243,1.7357585549354548,0.8612569038577512,290.63,87.49,1.0,1.0187100000000001e-05,0.0010187100000000001,0,7832.029296875
OI-MAS,14,100,61,0.61,2.8372490787506104,1.3291245698928833,6.99387800693512,0.35238564497066793,758.07,210.16,2.27,2.5669400000000005e-05,0.0025669400000000006,0,7836.18798828125
RCR-Router,14,100,68,0.68,13.399339997768402,15.511571884155273,17.643477857112885,0.0746274188211855,6217.35,998.82,8.55,0.00017428799999999998,0.017428799999999998,0,8067.45166015625
EvoMAS,14,100,49,0.49,2.8401775979995727,1.3313381671905518,7.840807652473449,0.3520205506284373,492.16,216.06,1.53,2.0646199999999996e-05,0.0020646199999999996,0,7835.36865234375
RopMura,14,100,24,0.24,6.439493544101715,6.615218997001648,7.676824784278869,0.15527646653815383,1745.99,485.93,5.04,5.92163e-05,0.00592163,0,7844.9677734375
AgentRoute,15,100,59,0.59,1.1704298162460327,1.0395041704177856,1.8932952880859368,0.8540733477849962,301.87,88.58,1.0,1.0466400000000002e-05,0.0010466400000000002,0,7820.3359375
OI-MAS,15,100,50,0.5,3.417911205291748,1.4549400806427002,7.351519048213959,0.29252200569714987,827.31,256.75,2.38,2.9383700000000005e-05,0.0029383700000000005,0,7835.36865234375
RCR-Router,15,100,60,0.6,14.018460354804994,15.370761513710022,17.740591609477995,0.07133124406326079,6572.26,1043.56,8.85,0.00018362320000000001,0.01836232,0,8073.98828125
EvoMAS,15,100,43,0.43,3.3404316401481626,3.0747673511505127,7.890666604042053,0.29929487093332197,570.61,251.45,1.67,2.3984700000000008e-05,0.0023984700000000006,0,7836.7158203125
RopMura,15,100,34,0.34,6.230821511745453,6.453595161437988,7.7308830380439755,0.16047593323264195,1801.55,475.2,5.04,5.9791000000000004e-05,0.0059791,0,7847.9462890625
