comparison,metric,n_runs,AgentRoute_mean,OI-MAS_mean,delta_mean,t_stat,p_value,cohens_d,ci95_lo,ci95_hi,bonferroni_alpha,significant_bonferroni,RCR-Router_mean,EvoMAS_mean,RopMura_mean
AgentRoute vs OI-MAS,accuracy,3,0.6533333333333333,0.5366666666666666,0.1166666666666667,3.66899692852671,0.0669154560442264,2.1182963643408064,-0.020148970298026106,0.25348230363135943,0.004166666666666667,False,,,
AgentRoute vs OI-MAS,mean_e2e_latency_s,3,1.1506312044461569,3.234091650644938,-2.0834604461987816,-10.178072833491797,0.00951558295473387,-5.8763130902481056,-2.9642172380496903,-1.202703654347872,0.004166666666666667,False,,,
AgentRoute vs OI-MAS,mean_cost_usd,3,1.0233400000000001e-05,2.794346666666667e-05,-1.7710066666666672e-05,-15.880812259144392,0.003941675645959898,-9.168791232766925,-2.2508326695372498e-05,-1.2911806637960845e-05,0.004166666666666667,True,,,
AgentRoute vs RCR-Router,accuracy,3,0.6533333333333333,,-0.01666666666666672,-0.9449111825230713,0.4444444444444432,-0.5455447255899828,-0.0925583273376612,0.05922499400432785,0.004166666666666667,False,0.67,,
AgentRoute vs RCR-Router,mean_e2e_latency_s,3,1.1506312044461569,,-12.312662851810456,-42.44176443757783,0.0005546917064685668,-24.50376412291825,-13.560893530511098,-11.064432173109815,0.004166666666666667,True,13.463294056256613,,
AgentRoute vs RCR-Router,mean_cost_usd,3,1.0233400000000001e-05,,-0.00016470416666666663,-34.92722243172571,0.00081872545498984,-20.165241273002774,-0.00018499392299315185,-0.00014441441034018147,0.004166666666666667,True,0.00017493756666666664,,
AgentRoute vs EvoMAS,accuracy,3,0.6533333333333333,,0.1766666666666667,14.699555199968588,0.004596099986413798,8.486792151669627,0.12495521654188492,0.22837811679144843,0.004166666666666667,False,,0.4766666666666666,
AgentRoute vs EvoMAS,mean_e2e_latency_s,3,1.1506312044461569,,-1.9635018857320146,-13.376037123202172,0.005542715559611694,-7.722658633771202,-2.5950990225068487,-1.331904748957181,0.004166666666666667,False,,3.1141330901781714,
AgentRoute vs EvoMAS,mean_cost_usd,3,1.0233400000000001e-05,,-1.2115233333333337e-05,-13.58006296361966,0.005378751170229539,-7.840453007657877,-1.595377531301486e-05,-8.276691353651809e-06,0.004166666666666667,False,,2.2348633333333338e-05,
AgentRoute vs RopMura,accuracy,3,0.6533333333333333,,0.3533333333333333,6.10973842766489,0.025758338326455514,3.527459125890525,0.10450588365471541,0.6021607830119513,0.004166666666666667,False,,,0.30000000000000004
AgentRoute vs RopMura,mean_e2e_latency_s,3,1.1506312044461569,,-5.229061419963838,-60.338152070626506,0.00027455989563521124,-34.836248340380784,-5.601940512548923,-4.85618232737875,0.004166666666666667,True,,,6.379692624409994
AgentRoute vs RopMura,mean_cost_usd,3,1.0233400000000001e-05,,-4.8951200000000007e-05,-202.8878954832267,2.4292482581968012e-05,-117.1373810725576,-4.9989310301259024e-05,-4.7913089698740975e-05,0.004166666666666667,True,,,5.918460000000001e-05
