router,target_qps,achieved_qps_mean,saturation_ratio_mean,p50_mean,p95_mean,p99_mean,timeouts_sum,rate_limit_429_sum,rate_limit_529_sum,accuracy_mean
AgentRoute,0.5,0.36250000000000004,0.7250000000000001,39.453734397888184,53.17321553826332,53.90899962186813,48,0,0,0.7456709956709957
AgentRoute,1.0,0.1875,0.1875,37.7584086060524,54.71166779398918,57.03197448611259,221,0,0,0.75
AgentRoute,2.0,0.11249999999999999,0.056249999999999994,41.30264723300934,71.73150962591171,77.79151295423509,468,0,0,0.7698863636363636
AgentRoute,5.0,0.11666666666666667,0.02333333333333333,38.38743078708649,60.151178884506216,72.66117926597596,1185,0,0,0.7754010695187166
EvoMAS,0.5,0.058333333333333334,0.11666666666666667,106.1178902387619,135.6281008720398,139.6062526702881,121,0,0,0.4666666666666667
EvoMAS,1.0,0.04166666666666667,0.04166666666666667,103.48547399044037,135.7633227288723,136.78515203356744,256,0,0,0.375
EvoMAS,2.0,0.04166666666666667,0.020833333333333336,97.97067254781723,123.45824362039565,124.20420174837113,485,0,0,0.5
EvoMAS,5.0,0.03333333333333333,0.006666666666666666,94.91610789299011,130.83762140274047,131.3655482673645,1205,0,0,0.6333333333333333
OI-MAS,0.5,0.1375,0.275,77.42489975690842,142.36164647340775,160.13836866617203,102,0,0,0.6691176470588236
OI-MAS,1.0,0.10833333333333334,0.10833333333333334,79.17413449287415,122.568705701828,131.8891025829315,240,0,0,0.7156862745098038
OI-MAS,2.0,0.09166666666666667,0.04583333333333334,79.90122163295746,138.64822577834127,145.47999133944512,473,0,0,0.725
OI-MAS,5.0,0.08333333333333334,0.016666666666666666,75.43398725986481,103.55374948978422,106.6282422876358,1193,0,0,0.7417582417582418
RopMura,0.5,0.0,0.0,0.0,0.0,0.0,135,0,0,0.0
RopMura,1.0,0.0,0.0,0.0,0.0,0.0,266,0,0,0.0
RopMura,2.0,0.0,0.0,0.0,0.0,0.0,495,0,0,0.0
RopMura,5.0,0.0,0.0,0.0,0.0,0.0,1213,0,0,0.0
