router,target_qps,seed,duration_s,n_offered,n_completed,n_timeouts,n_errors,achieved_qps,saturation_ratio,mean_e2e_latency_s,p50_e2e_latency_s,p95_e2e_latency_s,p99_e2e_latency_s,mean_llm_calls,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,accuracy_completed,n_429,n_529
AgentRoute,0.5,13,120.0,66,66,0,0,0.55,1.1,35.20760929223263,39.025994300842285,49.61964589357376,50.901194071769716,1.0,290.1212121212121,89.74242424242425,0.0,0.0,0.6818181818181818,0,0
OI-MAS,0.5,13,120.0,66,17,49,0,0.14166666666666666,0.2833333333333333,82.30339520117816,69.92508292198181,151.77141070365906,157.6320903301239,2.411764705882353,808.5294117647059,262.88235294117646,0.0,0.0,0.5882352941176471,0,0
EvoMAS,0.5,13,120.0,66,5,61,0,0.041666666666666664,0.08333333333333333,99.1887809753418,112.3119535446167,134.7395757675171,136.22767417907716,1.6,471.4,244.2,0.0,0.0,0.6,0,0
RopMura,0.5,13,120.0,66,0,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,1.0,13,120.0,133,20,113,0,0.16666666666666666,0.16666666666666666,40.928492641448976,37.8488963842392,52.16544145345688,52.99587877988815,1.0,280.25,83.25,0.0,0.0,0.7,0,0
OI-MAS,1.0,13,120.0,133,9,124,0,0.075,0.075,85.60151465733846,83.60655474662781,118.9366455554962,133.28999272346496,2.3333333333333335,746.6666666666666,228.88888888888889,0.0,0.0,0.6666666666666666,0,0
EvoMAS,1.0,13,120.0,133,6,127,0,0.05,0.05,92.46183629830678,93.67916071414948,126.69642788171768,128.1213492512703,1.6666666666666667,517.5,260.6666666666667,0.0,0.0,0.5,0,0
RopMura,1.0,13,120.0,133,0,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,2.0,13,120.0,252,11,241,0,0.09166666666666666,0.04583333333333333,43.474736820567735,38.09669518470764,75.45418560504913,80.78595011234285,1.0,296.27272727272725,87.81818181818181,0.0,0.0,0.7272727272727273,0,0
OI-MAS,2.0,13,120.0,252,10,242,0,0.08333333333333333,0.041666666666666664,92.12703230381013,87.54129898548126,158.017412674427,169.86903867959975,2.3,752.6,215.1,0.0,0.0,0.7,0,0
EvoMAS,2.0,13,120.0,252,6,246,0,0.05,0.025,100.47273421287537,112.63684523105621,132.54192519187927,132.9183633327484,1.6666666666666667,550.3333333333334,269.1666666666667,0.0,0.0,0.5,0,0
RopMura,2.0,13,120.0,252,0,252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,5.0,13,120.0,629,11,618,0,0.09166666666666666,0.018333333333333333,34.21525439349088,28.516674041748047,54.45550465583801,57.96871800422669,1.0,296.27272727272725,87.81818181818181,0.0,0.0,0.7272727272727273,0,0
OI-MAS,5.0,13,120.0,629,7,622,0,0.058333333333333334,0.011666666666666667,79.47127263886588,83.70606064796448,89.32469081878662,90.9219175338745,2.142857142857143,723.0,147.14285714285714,0.0,0.0,0.7142857142857143,0,0
EvoMAS,5.0,13,120.0,629,3,626,0,0.025,0.005,109.09772753715515,130.49626398086548,139.09447593688964,139.85876144409178,1.6666666666666667,470.3333333333333,230.66666666666666,0.0,0.0,0.6666666666666666,0,0
RopMura,5.0,13,120.0,629,0,629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,0.5,14,120.0,69,21,48,0,0.175,0.35,42.33249912943159,39.88147449493408,56.72678518295288,56.91680517196655,1.0,302.42857142857144,92.23809523809524,0.0,0.0,0.8095238095238095,0,0
OI-MAS,0.5,14,120.0,69,16,53,0,0.13333333333333333,0.26666666666666666,87.28170351684093,84.92471659183502,132.95188224315643,162.64464700222013,2.25,772.5625,194.8125,0.0,0.0,0.75,0,0
EvoMAS,0.5,14,120.0,69,9,60,0,0.075,0.15,90.23003837797377,99.9238269329071,136.5166259765625,142.98483116149902,1.8888888888888888,669.5555555555555,303.44444444444446,0.0,0.0,0.3333333333333333,0,0
RopMura,0.5,14,120.0,69,0,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,1.0,14,120.0,133,25,108,0,0.20833333333333334,0.20833333333333334,40.73214961051941,37.6679208278656,57.25789413452148,61.068070192337025,1.0,300.08,98.28,0.0,0.0,0.8,0,0
OI-MAS,1.0,14,120.0,133,17,116,0,0.14166666666666666,0.14166666666666666,87.72244725507848,74.74171423912048,126.20076584815979,130.48821244239807,2.235294117647059,762.2941176470588,189.23529411764707,0.0,0.0,0.7647058823529411,0,0
EvoMAS,1.0,14,120.0,133,4,129,0,0.03333333333333333,0.03333333333333333,108.99769407510757,113.29178726673126,144.8302175760269,145.44895481586457,2.0,758.0,354.0,0.0,0.0,0.25,0,0
RopMura,1.0,14,120.0,133,0,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,2.0,14,120.0,243,16,227,0,0.13333333333333333,0.06666666666666667,43.67154511809349,44.508599281311035,68.00883364677429,74.79707579612732,1.0,317.4375,82.3125,0.0,0.0,0.8125,0,0
OI-MAS,2.0,14,120.0,243,12,231,0,0.1,0.05,78.2050699989001,72.26114428043365,119.27903888225555,121.09094399929047,2.25,797.5,193.91666666666666,0.0,0.0,0.75,0,0
EvoMAS,2.0,14,120.0,243,4,239,0,0.03333333333333333,0.016666666666666666,85.54130810499191,83.30449986457825,114.37456204891204,115.49004016399384,1.5,474.5,203.25,0.0,0.0,0.5,0,0
RopMura,2.0,14,120.0,243,0,243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AgentRoute,5.0,14,120.0,584,17,567,0,0.14166666666666666,0.028333333333333332,49.48066708620857,48.25818753242493,65.84685311317442,87.35364052772522,1.0,323.52941176470586,82.41176470588235,0.0,0.0,0.8235294117647058,0,0
OI-MAS,5.0,14,120.0,584,13,571,0,0.10833333333333334,0.021666666666666667,79.82942421619708,67.16191387176514,117.78280816078184,122.33456704139708,2.230769230769231,804.3076923076923,186.6153846153846,0.0,0.0,0.7692307692307693,0,0
EvoMAS,5.0,14,120.0,584,5,579,0,0.041666666666666664,0.008333333333333333,83.40755362510681,59.335951805114746,122.58076686859131,122.87233509063721,1.6,558.8,221.4,0.0,0.0,0.6,0,0
