comparison,metric,n_runs,AgentRoute_mean,OI-MAS_mean,delta_mean,t_stat,p_value,cohens_d,ci95_lo,ci95_hi,bonferroni_alpha,significant_bonferroni,RCR-Router_mean,EvoMAS_mean,RopMura_mean
AgentRoute vs OI-MAS,em,4,0.503125,0.5,0.0031250000000000444,0.3333333333333292,0.7608203755145135,0.16666666666666458,-0.026710434112040007,0.03296043411203993,0.003125,False,,,
AgentRoute vs OI-MAS,f1,4,0.5986966814888011,0.6031993443929449,-0.004502662904143806,-0.5038915312265628,0.6490133809759855,-0.2519457656132814,-0.03294029686943933,0.02393497106115155,0.003125,False,,,
AgentRoute vs OI-MAS,mean_e2e_latency_s,4,1.0733033843338489,1.6653831727802753,-0.5920797884464264,-10.543870536291722,0.0018221457345313408,-5.271935268145861,-0.7707866616662025,-0.41337291522665026,0.003125,True,,,
AgentRoute vs OI-MAS,mean_cost_usd,4,3.3198375e-05,6.594384375e-05,-3.274546875e-05,-165.56555264661066,4.858517416710612e-07,-82.78277632330531,-3.337489132234312e-05,-3.211604617765689e-05,0.003125,True,,,
AgentRoute vs RCR-Router,em,4,0.503125,,0.0,-2.2627440604109072e-15,0.9999999999999983,-1.1313720302054536e-15,-0.05855542653791502,0.058555426537914936,0.003125,False,0.503125,,
AgentRoute vs RCR-Router,f1,4,0.5986966814888011,,-0.05050343778604649,-3.804053444130424,0.03191657410307843,-1.902026722065212,-0.09275428450702304,-0.008252591065069995,0.003125,False,0.6492001192748476,,
AgentRoute vs RCR-Router,mean_e2e_latency_s,4,1.0733033843338489,,-1.318505141884089,-15.416148218154422,0.0005929298604793563,-7.708074109077211,-1.5906919266703123,-1.0463183570978651,0.003125,True,2.391808526217938,,
AgentRoute vs RCR-Router,mean_cost_usd,4,3.3198375e-05,,-5.5246406250000016e-05,-14.018137414611353,0.0007861407337120029,-7.009068707305676,-6.778863752155873e-05,-4.270417497844127e-05,0.003125,True,8.844478125000002e-05,,
AgentRoute vs EvoMAS,em,4,0.503125,,0.02812500000000001,4.7000967108038285,0.018219854743222526,2.3500483554019143,0.009081497739636457,0.047168502260363454,0.003125,False,,0.47500000000000003,
AgentRoute vs EvoMAS,f1,4,0.5986966814888011,,0.042167019954099216,4.4860715167530385,0.020661806255222008,2.2430357583765193,0.012253480600874868,0.07208055930732354,0.003125,False,,0.5565296615347018,
AgentRoute vs EvoMAS,mean_e2e_latency_s,4,1.0733033843338489,,-0.8189907513558867,-12.496383518061855,0.0011045753181323748,-6.2481917590309255,-1.0275626223253818,-0.6104188803863912,0.003125,True,,1.8922941356897356,
AgentRoute vs EvoMAS,mean_cost_usd,4,3.3198375e-05,,-2.9388156250000003e-05,-24.912687769756413,0.00014180632820661116,-12.456343884878207,-3.3142316786241636e-05,-2.563399571375837e-05,0.003125,True,,6.258653125e-05,
AgentRoute vs RopMura,em,4,0.503125,,0.0625,3.6927447293799815,0.03445085416185287,1.8463723646899908,0.008636841656622554,0.11636315834337736,0.003125,False,,,0.44062500000000004
AgentRoute vs RopMura,f1,4,0.5986966814888011,,0.007241126821419752,0.3421157290493067,0.7548286729190573,0.17105786452465335,-0.0601176507564475,0.07459990439928706,0.003125,False,,,0.5914555546673813
AgentRoute vs RopMura,mean_e2e_latency_s,4,1.0733033843338489,,-1.3396007515490056,-22.18764756639944,0.00020043343802829525,-11.09382378319972,-1.5317440353092575,-1.1474574677887532,0.003125,True,,,2.4129041358828545
AgentRoute vs RopMura,mean_cost_usd,4,3.3198375e-05,,-3.0610937499999994e-05,-34.440099381416125,5.3822144489482466e-05,-17.220049690708063,-3.343954910966129e-05,-2.7782325890338698e-05,0.003125,True,,,6.38093125e-05
