router,seed,n,em,f1,mean_e2e_latency_s,p50_e2e_latency_s,p95_e2e_latency_s,throughput_qps,mean_prompt_tokens,mean_completion_tokens,mean_llm_calls,mean_cost_usd,total_cost_usd,gpu_peak_mb
AgentRoute,13,80,0.5125,0.6145531400966183,1.2356234312057495,1.0597137212753296,2.401093304157256,0.8088511055565499,1444.075,83.9125,1.0,3.3077125e-05,0.0026461699999999998,8195.73876953125
OI-MAS,13,80,0.5,0.6108136668195355,1.99325088262558,1.5215414762496948,4.093228900432586,0.5015162038331349,2961.4875,133.125,2.0,6.5886e-05,0.00527088,8226.71533203125
RCR-Router,13,80,0.5375,0.6703757122507122,2.7280153900384905,2.2164957523345947,6.1754332542419395,0.3664713823327026,4332.425,184.2625,4.3125,9.5861625e-05,0.00766893,8190.1259765625
EvoMAS,13,80,0.5,0.5842562724014336,2.2327055424451827,1.8859221935272217,5.414847123622893,0.4477229010883457,2871.4,152.425,1.95,6.504925000000001e-05,0.005203940000000001,8224.08154296875
RopMura,13,80,0.4625,0.5924028700627538,2.4593250513076783,1.7412610054016113,5.785741055011748,0.4064883318199185,2657.05,167.825,6.6,6.153225e-05,0.00492258,8189.2412109375
AgentRoute,14,80,0.4375,0.5112996031746031,1.0878452569246293,0.9982484579086304,1.9314657211303707,0.9186805527484666,1496.7,73.2,1.0,3.3594000000000004e-05,0.00268752,8202.83544921875
OI-MAS,14,80,0.45,0.5281029783708355,1.6206866592168807,1.2806601524353027,3.5341532945632914,0.6167471724517036,3057.5875,108.2375,2.0,6.656362500000002e-05,0.005325090000000001,8241.23095703125
RCR-Router,14,80,0.4,0.5972254134754135,2.472327542304993,1.9859375953674316,5.4547596812248225,0.40437063667297274,4193.225,163.3125,4.075,9.203012500000001e-05,0.007362410000000001,8196.34228515625
EvoMAS,14,80,0.4,0.47417839105339105,1.917062297463417,1.5436278581619263,4.401495087146757,0.5214025760672574,2852.275,128.4375,1.8625,6.3467375e-05,0.00507739,8237.37841796875
RopMura,14,80,0.3875,0.5650157631104455,2.334960487484932,1.789894700050354,4.940886485576629,0.4281415390092988,2796.425,159.35,6.8,6.3896e-05,0.00511168,8195.97314453125
AgentRoute,15,80,0.4875,0.6240476190476191,0.9564373940229416,0.8809479475021362,1.545376801490783,1.0448158481596033,1461.1625,64.15,1.0,3.2430750000000005e-05,0.0025944600000000003,8259.67431640625
OI-MAS,15,80,0.4625,0.607406847185073,1.520592710375786,1.1287297010421753,3.252919471263885,0.6573399799160675,2977.475,101.0125,2.0,6.460012500000001e-05,0.005168010000000001,8274.78125
RCR-Router,15,80,0.525,0.6531501831501831,2.044505938887596,1.6626622676849365,3.917779731750488,0.488961203944605,3495.6875,136.775,3.5375,7.675250000000001e-05,0.0061402,8250.3173828125
EvoMAS,15,80,0.45,0.554047619047619,1.6497239261865615,1.3663222789764404,3.417316055297851,0.6058355614349171,2818.8125,110.025,1.9,6.18775e-05,0.0049502,8272.162109375
RopMura,15,80,0.45,0.6075222337326209,2.3954959392547606,1.568130373954773,5.68686944246292,0.4173376109908451,2750.6125,166.8,6.7,6.335225e-05,0.00506818,8244.40234375
AgentRoute,16,80,0.575,0.6448863636363636,1.0133074551820755,0.9179960489273071,1.8249766945838928,0.9863144097286727,1510.2375,69.7375,1.0,3.3691625e-05,0.00269533,8328.591796875
OI-MAS,16,80,0.5875,0.6664738851963357,1.527002438902855,1.206175684928894,3.688631176948547,0.6545916819627918,3081.1875,102.0375,2.0,6.672562499999999e-05,0.0053380499999999996,8354.7412109375
RCR-Router,16,80,0.55,0.6760491682230814,2.322385233640671,1.911974549293518,4.671862363815307,0.4304767525616241,4064.5875,156.8625,4.075,8.913487499999999e-05,0.00713079,8315.54931640625
EvoMAS,16,80,0.55,0.6136363636363636,1.7696847766637802,1.3024792671203613,4.047846710681915,0.5648234630752854,2700.4125,118.875,1.7625,5.9952e-05,0.00479616,8351.904296875
RopMura,16,80,0.4625,0.6008813517637047,2.461835065484047,1.7442220449447632,5.4086109638214115,0.4060920802433041,2904.3375,167.4,6.95,6.645675e-05,0.00531654,8314.52197265625
